# TestSim (Up to date)
# 754 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s)
#   Discontinuity in rocket body diameter.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s�),Total velocity (m/s),Total acceleration (m/s�),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (�),Lateral velocity (m/s),Lateral acceleration (m/s�),Latitude (�),Longitude (�),Gravitational acceleration (m/s�),Angle of attack (�),Roll rate (�/s),Pitch rate (�/s),Yaw rate (�/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg�m�),Rotational moment of inertia (kg�m�),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s�),Reference length (cm),Reference area (cm�),Vertical orientation (zenith) (�),Lateral orientation (azimuth) (�),Wind velocity (m/s),Air temperature (�C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0.09,0.15067,4.1258,60.777,4.1258,60.777,0,0,0,0,0,0,28.61,-80.6,9.7922,23.778,0,0,0,5349.4,731.31,2.6642,0.019662,NaN,129.06,NaN,0.013245,748215,377.6,0.094697,0.75614,0.93821,0.54806,0.088058,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2824e-4,10.16,81.073,90,0,NaN,14.999,1013.2,340.39,0.01,0.027277
0.1,0.19497,4.7338,61.341,4.7338,61.341,0,0,0,0,0,0,28.61,-80.6,9.7922,21.128,0,0,0,5347.3,729.19,2.6624,0.019661,NaN,129.03,NaN,0.014909,842214,380.49,0.12135,0.74314,0.94891,0.53505,0.088062,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0609e-4,10.16,81.073,90,0,NaN,14.999,1013.2,340.39,0.01,0.02847
0.11,0.24538,5.3474,61.905,5.3474,61.905,0,0,0,0,0,0,28.61,-80.6,9.7922,19.277,0,0,0,5345.2,727.07,2.6606,0.019661,NaN,128.99,NaN,0.016643,940139,383.38,0.15068,0.73146,0.94558,0.52336,0.088065,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8465e-4,10.16,81.073,90,0,NaN,14.998,1013.2,340.39,0.01,0.029425
0.12,0.30195,5.9666,62.468,5.9666,62.468,0,0,0,0,0,0,28.61,-80.6,9.7922,17.76,0,0,0,5343.1,724.95,2.6587,0.01966,NaN,128.95,NaN,0.018406,1039749,386.27,0.1826,0.72111,0.93684,0.51299,0.088069,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6394e-4,10.16,81.073,90,0,NaN,14.998,1013.2,340.39,0.01,0.030323
0.13,0.36474,6.5915,63.031,6.5915,63.031,0,0,0,0,0,0,28.61,-80.6,9.7922,16.496,0,0,0,5340.9,722.83,2.6569,0.01966,NaN,128.92,NaN,0.020196,1140854,389.16,0.21703,0.71184,0.92484,0.50371,0.088074,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4394e-4,10.16,81.073,90,0,NaN,14.998,1013.2,340.39,0.01,0.031516
0.14,0.43381,7.222,63.595,7.222,63.595,0,0,0,0,0,0,28.61,-80.6,9.7922,15.427,0,0,0,5338.8,720.71,2.655,0.01966,NaN,128.88,NaN,0.02201,1243324,392.05,0.25347,0.70347,0.90943,0.49533,0.088079,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2467e-4,10.16,81.073,90,0,NaN,14.997,1013.2,340.39,0.01,0.033305
0.15,0.50921,7.8582,64.158,7.8582,64.158,0,0,0,0,0,0,28.61,-80.6,9.7922,14.511,0,0,0,5336.7,718.59,2.6532,0.019659,NaN,128.84,NaN,0.023847,1347065,394.94,0.292,0.69587,0.89251,0.48771,0.088085,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010061,10.16,81.073,90,0,NaN,14.997,1013.2,340.39,0.01,0.03465
0.16,0.591,8.5,64.722,8.5,64.722,0,0,0,0,0,0,28.61,-80.6,9.7922,13.571,0,0,0,5334.6,716.47,2.6513,0.019659,NaN,128.81,NaN,0.025689,1451107,397.83,0.33175,0.68896,0.87382,0.48079,0.088091,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010883,10.16,81.073,90,0,NaN,14.996,1013.2,340.39,0.01,0.035812
0.17,0.67923,9.1474,65.286,9.1474,65.286,0,0,0,0,0,0,28.61,-80.6,9.7922,12.75,0,0,0,5332.5,714.35,2.6495,0.019659,NaN,128.77,NaN,0.027553,1556398,400.73,0.37359,0.6826,0.85538,0.4744,0.088097,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011712,10.16,81.073,90,0,NaN,14.996,1013.2,340.39,0.01,0.036905
0.18,0.77397,9.8005,65.85,9.8005,65.85,0,0,0,0,0,0,28.61,-80.6,9.7922,12.026,0,0,0,5330.3,712.23,2.6476,0.019658,NaN,128.73,NaN,0.029438,1662881,403.62,0.41767,0.67671,0.83774,0.46849,0.088104,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012548,10.16,81.073,90,0,NaN,14.995,1013.2,340.39,0.01,0.039022
0.19,0.87527,10.459,66.414,10.459,66.414,0,0,0,0,0,0,28.61,-80.6,9.7922,11.383,0,0,0,5328.2,710.11,2.6458,0.019658,NaN,128.69,NaN,0.031344,1770512,406.44,0.46412,0.67122,0.82116,0.46298,0.088112,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013391,10.16,81.073,90,0,NaN,14.994,1013.1,340.39,0.009561,0.0408
0.19956,0.97831,11.094,66.942,11.094,66.942,0,0,0,0,0,0,28.61,-80.6,9.7922,10.832,0,0,0,5326.1,708.04,2.644,0.019657,NaN,128.66,NaN,0.033185,1874464,409.13,0.51085,0.66632,0.80638,0.45806,0.08812,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014205,10.16,81.073,90,0,NaN,14.994,1013.1,340.39,0.0090137,0.041889
# Event LAUNCHROD occurred at t=0.20857 seconds
0.20857,1.081,11.698,67.436,11.698,67.438,0,0,0,0,0,0.47065,28.61,-80.6,9.7922,10.307,0,0,0,5324.2,706.07,2.6423,0.019657,149.45,128.62,2.0503,0.03493,1973028,412.38,0.55623,0.66199,0.79247,0.4537,0.088128,0.12016,3.5587,7.2959,3.24e-4,0,0,0,0,0,0.0014977,10.16,81.073,90,0,NaN,14.993,1013.1,340.38,0.013521,0.043102
0.2221,1.2454,12.611,68.313,12.611,68.315,-4.3778e-5,0,4.3778e-5,-180,0.0065298,0.4946,28.61,-80.6,9.7922,9.5705,0,0.15873,1.7462e-6,5321.8,703.68,2.6402,0.019657,149.91,128.58,2.0988,0.037573,2122291,417.27,0.63216,0.66068,0.77841,0.45236,0.088141,0.12018,3.24,6.7998,-3.7352e-4,0,0,0,0,2.3218e-4,0.0016147,10.16,81.073,89.999,-5.4509e-4,NaN,14.992,1013.1,340.38,0.020281,0.044063
0.24238,1.5152,14,69.219,14,69.221,-2.8016e-4,0,2.8016e-4,-180,0.016883,0.52479,28.61,-80.6,9.7922,8.6234,0,0.41977,3.9978e-6,5318.2,700.1,2.637,0.019656,150.52,128.52,2.1651,0.041602,2349835,421.37,0.75866,0.66073,0.762,0.45234,0.088162,0.12022,2.8443,6.1566,3.3003e-4,0,0,0,0,0.0013245,0.0017925,10.16,81.073,89.993,-9.7665e-4,NaN,14.99,1013.1,340.38,0.030421,0.045199
0.2728,1.9732,16.11,69.811,16.11,69.813,-0.0010424,0,0.0010424,-180,0.0334,0.55791,28.61,-80.6,9.7922,7.5108,0,0.86437,9.6493e-7,5312.5,694.41,2.632,0.019655,151.28,128.42,2.2505,0.047741,2696440,424.49,0.97371,0.66081,0.74271,0.45232,0.088198,0.1203,2.4002,5.3969,-4.0679e-4,0,0,0,0,0.0042646,0.0020626,10.16,81.073,89.974,-3.0538e-4,NaN,14.987,1013,340.38,0.045632,0.046733
0.31843,2.7811,19.303,70.697,19.303,70.699,-0.003156,-8.7703e-9,0.003156,-180,0.059062,0.53517,28.61,-80.6,9.7922,6.0221,0,1.6485,-1.5442e-6,5303.7,685.59,2.6243,0.019653,152.4,128.26,2.3758,0.057034,3221138,428.41,1.3433,0.66096,0.71798,0.45227,0.088263,0.12042,1.8412,4.3638,1.1664e-4,0,0,0,0,0.010869,0.0024715,10.16,81.073,89.917,-2.274e-4,NaN,14.982,1012.9,340.38,0.05,0.047683
0.36843,3.8348,22.844,71.586,22.844,71.587,-0.0067239,-2.7312e-8,0.0067239,-180,0.082472,0.39107,28.61,-80.6,9.7922,4.5591,0,2.587,-7.8153e-5,5292.6,674.49,2.6145,0.019651,153.62,128.07,2.5146,0.067346,3803185,432.51,1.8162,0.66115,0.6963,0.45222,0.088349,0.12059,1.3316,3.3291,-3.2912e-4,0,0,0,0,0.019197,0.0029249,10.16,81.073,89.811,4.0885e-4,NaN,14.975,1012.8,340.37,0.05,0.048508
0.41843,5.0666,26.428,72.434,26.429,72.434,-0.011257,-5.4631e-8,0.011257,-180,0.097392,0.21075,28.61,-80.6,9.7922,3.7283,0,3.5932,-7.039e-5,5281,662.88,2.6042,0.019649,154.37,127.86,2.6085,0.077843,4395473,436.61,2.3896,0.66139,0.68583,0.45215,0.08845,0.12079,1.0601,2.7371,-9.1768e-5,0,0,0,0,0.027722,0.0033838,10.16,81.073,89.657,7.8861e-4,NaN,14.967,1012.7,340.37,0.05,0.049322
0.46843,6.4787,30.055,73.266,30.055,73.266,-0.016315,-7.8293e-8,0.016315,-180,0.10303,0.024517,28.61,-80.6,9.7922,3.2226,0,4.7431,-8.3982e-6,5269.4,651.27,2.5938,0.019647,154.85,127.66,2.6761,0.088493,4996241,440.71,3.0631,0.66165,0.68035,0.45207,0.088568,0.12102,0.90118,2.3738,4.063e-5,0,0,0,0,0.037377,0.0038481,10.16,81.073,89.449,6.0241e-4,NaN,14.958,1012.5,340.36,0.05,0.050142
0.51843,8.0731,33.722,73.872,33.722,73.873,-0.021289,-9.3081e-8,0.021289,-180,0.092574,0.43295,28.61,-80.6,9.7922,2.5718,0,5.9648,-9.8454e-5,5257.8,639.66,2.5835,0.019645,155.49,127.45,2.7598,0.099252,5602886,443.69,3.8177,0.66196,0.67422,0.45198,0.088703,0.12128,0.70361,1.8948,2.1555e-4,0,0,0,0,0.046993,0.0043176,10.16,81.073,89.182,5.6141e-4,NaN,14.948,1012.3,340.36,0.05,0.050923
0.56843,9.8516,37.419,74.14,37.419,74.146,-0.025156,-8.7731e-8,0.025156,-180,0.057676,0.96907,28.61,-80.6,9.7921,1.9809,0,7.139,9.275e-5,5246,627.86,2.5728,0.019643,156.1,127.24,2.8409,0.11011,6214745,444.99,4.6665,0.6623,0.66977,0.45187,0.088854,0.12158,0.53107,1.4538,-3.28e-4,0,0,0,0,0.054698,0.004791,10.16,81.073,88.854,4.0767e-4,NaN,14.936,1012.1,340.35,0.05,0.051692
0.61843,11.815,41.13,74.385,41.13,74.402,-0.026586,-6.1124e-8,0.026586,-180,0.0056413,1.5939,28.61,-80.6,9.7921,1.5345,0,8.2612,1.5091e-4,5233.9,615.84,2.562,0.019641,156.58,127.02,2.9098,0.12102,6829569,446.26,5.615,0.66269,0.66725,0.45176,0.089022,0.1219,0.40508,1.1179,8.6947e-6,0,0,0,0,0.060635,0.005266,10.16,81.073,88.468,1.4445e-5,NaN,14.923,1011.9,340.34,0.05,0.052456
0.66843,13.965,44.852,74.605,44.852,74.643,-0.024005,-2.8861e-8,0.024005,-180,0.104,2.3754,28.61,-80.6,9.7921,1.0491,0,9.2429,4.4132e-4,5221.9,603.79,2.5511,0.019639,157.13,126.8,2.9848,0.13197,7446074,447.53,6.6556,0.6631,0.66528,0.45163,0.089207,0.12226,0.27224,0.74868,1.463e-4,0,0,0,0,0.063832,0.0057426,10.16,81.073,88.03,-3.6254e-4,NaN,14.909,1011.6,340.33,0.05,0.053199
0.71843,16.301,48.584,74.794,48.585,74.867,-0.015462,-4.0336e-8,0.015462,-180,0.24534,3.3038,28.61,-80.6,9.7921,0.54015,0,9.9258,0.0011446,5209.9,591.74,2.5401,0.019636,157.72,126.58,3.0645,0.14295,8064054,448.81,7.794,0.66356,0.66415,0.4515,0.089408,0.12266,0.13763,0.35881,-1.8407e-4,0,0,0,0,0.06274,0.0062205,10.16,81.073,87.549,-8.0291e-4,NaN,14.894,1011.3,340.32,0.05,0.053976
0.76843,18.823,52.325,74.95,52.327,75.074,0.0013541,-1.8483e-7,0.0013541,-0.0078211,0.43556,4.3118,28.61,-80.6,9.7921,0.085746,0,10.176,0.0073142,5197.8,579.7,2.5291,0.019634,158.27,126.36,3.1403,0.15397,8683717,450.08,9.0381,0.66406,0.66407,0.45135,0.089626,0.12308,0.021491,0.011008,-3.4422e-4,0,0,0,0,0.056843,0.0066997,10.16,81.073,87.045,-0.0012121,NaN,14.878,1011,340.31,0.05,0.054742
0.81843,21.533,56.073,75.068,56.077,75.265,0.028947,-5.8558e-7,0.028947,-0.0011591,0.67742,5.4424,28.61,-80.6,9.7921,0.41509,0,-9.9128,0.0015862,5185.8,567.65,2.518,0.019632,157.89,126.14,3.1249,0.16501,9303834,451.36,10.39,0.66459,0.66494,0.45119,0.08986,0.12354,0.10539,0.3762,2.4821e-4,0,0,0,0,-0.046973,0.0071799,10.16,81.073,86.54,-0.0013867,NaN,14.86,1010.7,340.3,0.05,0.055511
0.86843,24.431,59.825,75.123,59.833,75.421,0.070173,-1.317e-6,0.070173,-0.0010754,0.98187,6.6979,28.61,-80.6,9.7921,0.97613,0,-8.7015,4.2642e-4,5173.7,555.6,2.5069,0.01963,157.26,125.92,3.0847,0.17604,9923459,452.53,11.86,0.66516,0.66706,0.45102,0.090111,0.12403,0.25318,0.8125,-3.2131e-4,0,0,0,0,-0.031802,0.007661,10.16,81.073,86.07,-0.0013295,NaN,14.841,1010.4,340.29,0.05,0.056265
0.91843,27.516,63.58,74.906,63.594,75.298,0.12809,-2.3874e-6,0.12809,-0.0010679,1.343,7.6731,28.61,-80.6,9.7921,1.2602,0,-6.6157,5.2052e-4,5161.6,543.54,2.4957,0.019628,156.96,125.7,3.0771,0.18711,10544820,452.36,13.431,0.66577,0.6689,0.45084,0.090379,0.12455,0.33045,1.0334,4.4957e-4,0,0,0,0,-0.016273,0.0081428,10.16,81.073,85.684,-0.0011902,NaN,14.821,1010,340.28,0.05,0.057033
0.96843,30.789,67.324,74.612,67.347,75.073,0.20514,-3.7372e-6,0.20514,-0.0010438,1.7443,8.3076,28.61,-80.6,9.7921,1.345,-4.2492e-7,-3.9296,3.8421e-6,5149.5,531.44,2.4844,0.019626,156.88,125.47,3.0918,0.19817,11164959,451.76,15.084,0.66641,0.66997,0.45064,0.090663,0.12511,0.354,1.0995,-1.7021e-4,0,0,0,0,-0.0051187,0.0086236,10.16,81.073,85.419,-0.0011162,NaN,14.8,1009.6,340.27,0.05,0.05813
1.0184,34.248,71.054,74.337,71.087,74.826,0.30291,-5.3202e-6,0.30291,-0.0010063,2.1683,8.5345,28.61,-80.6,9.7921,1.2618,-4.3254e-7,-0.88962,-6.1097e-4,5137.4,519.32,2.473,0.019623,156.99,125.24,3.1248,0.2092,11782871,451.16,16.81,0.66709,0.67024,0.45044,0.090963,0.12569,0.33134,1.0355,-2.681e-5,0,0,0,0,-2.3542e-4,0.0091029,10.16,81.073,85.297,-0.0012992,NaN,14.777,1009.2,340.25,0.05,0.059429
1.0684,37.894,74.771,74.086,74.816,74.554,0.42194,-7.1832e-6,0.42194,-9.7542e-4,2.5913,8.3371,28.61,-80.6,9.7921,1.0517,-7.3333e-7,2.0671,-8.6709e-4,5125.3,507.19,2.4616,0.019621,157.24,125.02,3.1719,0.2202,12398207,450.57,18.609,0.66781,0.67001,0.45023,0.091278,0.1263,0.27429,0.86932,3.8709e-4,0,0,0,0,0.0011474,0.0095807,10.16,81.073,85.328,-0.0017325,NaN,14.754,1008.8,340.24,0.05,0.060795
1.1184,41.725,78.475,73.85,78.532,74.258,0.56177,-9.5348e-6,0.56177,-9.7247e-4,2.9973,7.7768,28.61,-80.6,9.792,0.77645,-8.3381e-7,4.7419,-3.336e-4,5113.2,495.06,2.4502,0.019619,157.57,124.79,3.2268,0.23115,1.301e7,449.97,20.489,0.66856,0.66977,0.45,0.091607,0.12695,0.20065,0.64223,-4.1661e-4,0,0,0,0,0.0054801,0.010057,10.16,81.073,85.5,-0.0019619,NaN,14.729,1008.4,340.22,0.05,0.062096
1.1684,45.741,82.168,73.624,82.237,73.938,0.72096,-1.2325e-5,0.72096,-9.7949e-4,3.3628,6.811,28.61,-80.6,9.792,0.40252,-3.3308e-7,6.5698,-1.1617e-4,5101,482.94,2.4387,0.019617,158.02,124.56,3.2939,0.24206,1.362e7,449.37,22.455,0.66934,0.66967,0.44977,0.091951,0.12762,0.10268,0.32888,-5.9325e-6,0,0,0,0,0.0095932,0.010532,10.16,81.073,85.787,-0.0015698,NaN,14.703,1007.9,340.21,0.05,0.06345
1.2184,49.942,85.85,73.077,85.928,73.297,0.89718,-1.5194e-5,0.89718,-9.7029e-4,3.6768,5.6761,28.61,-80.6,9.792,0.052184,0,7.33,-0.0068984,5088.9,470.81,2.4271,0.019615,158.46,124.33,3.3596,0.25292,14225320,447.23,24.521,0.67015,0.67016,0.44953,0.09231,0.12832,0.013151,0.033676,4.8326e-4,0,0,0,0,0.01094,0.011005,10.16,81.073,86.139,-0.0013002,NaN,14.675,1007.4,340.19,0.05,0.064323
1.2684,54.326,89.503,72.007,89.589,72.142,1.0876,-1.8017e-5,1.0876,-9.4915e-4,3.9308,4.4016,28.61,-80.6,9.792,0.29673,-3.2595e-7,-6.7977,-0.0016639,5076.9,458.8,2.4156,0.019612,158.19,124.1,3.3557,0.26369,14825583,442.56,26.681,0.671,0.67118,0.44928,0.092681,0.12904,0.075533,0.2617,3.7737e-5,0,0,0,0,-0.0086561,0.011474,10.16,81.073,86.498,-0.0014045,NaN,14.647,1006.9,340.17,0.05,0.065109
1.3184,58.891,93.102,70.893,93.193,70.966,1.2892,-2.0672e-5,1.2892,-9.1872e-4,4.1219,3.2072,28.61,-80.6,9.792,0.59344,-7.4604e-7,-4.8174,-5.7438e-4,5065,446.92,2.4041,0.01961,157.87,123.87,3.3462,0.27431,15416396,437.86,28.918,0.67186,0.67258,0.44902,0.093062,0.12978,0.15288,0.51578,4.6813e-4,0,0,0,0,-0.0040178,0.011935,10.16,81.073,86.794,-0.0011288,NaN,14.617,1006.3,340.16,0.05,0.065879
1.3684,63.634,96.645,70.187,96.738,70.231,1.4989,-2.291e-5,1.4989,-8.7574e-4,4.2617,2.4863,28.61,-80.6,9.792,0.73653,-4.2883e-7,-1.5668,-0.0018264,5053.2,435.05,2.3926,0.019608,157.72,123.64,3.3548,0.28475,15996801,435.46,31.204,0.67275,0.67385,0.44875,0.093452,0.13054,0.19092,0.64056,2.0254e-4,0,0,0,0,-3.9441e-4,0.012389,10.16,81.073,86.958,-2.7907e-5,NaN,14.586,1005.8,340.14,0.05,0.066647
1.4184,68.554,100.15,71.38,100.25,71.428,1.715,-2.4273e-5,1.715,-8.109e-4,4.3848,2.6325,28.61,-80.6,9.792,0.66075,-6.5985e-7,2.0885,-0.0033379,5041.3,423.17,2.3811,0.019606,157.83,123.41,3.3884,0.29508,1.657e7,442.86,33.523,0.67365,0.67455,0.44848,0.093851,0.13132,0.17097,0.57905,-4.951e-4,0,0,0,0,6.5272e-4,0.012839,10.16,81.073,86.944,0.0023627,NaN,14.554,1005.2,340.12,0.05,0.067407
1.4684,73.651,103.71,72.027,103.81,72.107,1.9378,-2.3638e-5,1.9378,-6.9891e-4,4.5328,3.416,28.61,-80.6,9.792,0.44181,-6.3839e-7,5.1741,-0.001476,5029.4,411.26,2.3695,0.019604,158.11,123.18,3.4386,0.30559,17152084,447.77,35.956,0.67461,0.67501,0.4482,0.094273,0.13214,0.11352,0.38624,-3.0004e-4,0,0,0,0,0.0037358,0.013296,10.16,81.073,86.759,0.0032471,NaN,14.521,1004.6,340.1,0.05,0.068162
1.5184,78.927,107.31,51.2,107.41,51.309,2.1692,-2.0582e-5,2.1692,-5.4364e-4,4.7319,3.3318,28.61,-80.6,9.7919,0.15166,0,6.9448,-0.0018882,5017.5,399.37,2.3578,0.019602,158.48,122.94,3.4977,0.3162,1.774e7,344.99,38.512,0.67561,0.67566,0.4479,0.094713,0.133,0.038596,0.1288,2.3696e-4,0,0,0,0,0.0062866,0.013757,10.16,81.073,86.449,0.0019703,NaN,14.487,1004,340.08,0.05,0.068954
1.5684,84.356,109.86,3.4819,109.97,3.7457,2.4105,-1.5826e-5,2.4105,-3.7616e-4,4.9301,1.3809,28.61,-80.6,9.7919,0.16054,0,-6.8681,-8.5901e-4,5007.4,389.33,2.3479,0.0196,158.49,122.74,3.518,0.32376,18155406,107.19,40.394,0.67634,0.6764,0.44768,0.095036,0.13363,0.040904,0.14939,-3.26e-4,0,0,0,0,-0.0058655,0.014085,10.16,81.073,86.096,0.0011092,NaN,14.452,1003.4,340.06,0.05,0.069753
1.6184,89.854,110.04,-16.292,110.15,16.315,2.6591,-9.908e-6,2.6591,-2.1349e-4,5.0229,0.85984,28.61,-80.6,9.7919,0.43739,-5.7948e-7,-4.8114,-3.6534e-4,5001.3,383.22,2.3419,0.019599,158.16,122.62,3.4979,0.3243,18176724,8.4254,40.525,0.6764,0.67679,0.44766,0.09506,0.13367,0.11259,0.39717,-8.4875e-5,0,0,0,0,-0.0028693,0.014107,10.16,81.073,85.796,8.2099e-4,NaN,14.416,1002.7,340.03,0.05,0.070528
# Event BURNOUT occurred at t=1.6684 seconds
